data,id_point,class,colour,cond_microscm,oxig_mgl,ph,temp_wa_c,temp_air_c,co_total_mgl,dbo _mgl,fósf_total_mgl,nitro_kje_mgl,nitro_amo_mgl,sdiss_total_mgl,solido_total_mgl,turb,clor_a_microgl,Caracteristicas,Complemento,Type
5/25/2019,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,159,7.22,7.11,23.2,25.9,5.94,<3,0.07,0.58,<0.05,106,112,4.71,39.83,,,
7/25/2019,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,158,9.52,7.89,20,18.6,5.81,4,0.09,1.14,<0.1,<100,<100,9.32,50.12,,,
2/10/2019,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,167,15.78,9.72,27.3,24.2,15.2,17,0.61,6.66,<0.1,114,250,180,,,,
4/12/2019,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,154,8.62,8.2,24.5,24.3,5.62,3.1,0.04,0.99,<0.1,108,108,12.6,40.99,,,
3/1/2013,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,194,3.05,7.36,25.08,19,7.55,9,0.124,2.39,0.4,112,118,18.6,101.04,,,
3/14/2013,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,188,4.71,7.45,25.31,21.2,4.63,9,0.15,2.59,0.17,140,172,13.3,,,,
5/15/2013,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,187,6,7.47,21.67,27,6.32,8,0.16,1.32,0.17,142,148,9.12,94.7,,,
7/25/2013,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,193,4.49,7.37,17.81,12,7.17,7,0.16,0.92,0.14,108,124,4.04,37.42,,,
9/25/2013,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,189,5.08,7.48,19.66,15.8,5.91,5,0.14,1.4,0.47,114,130,6.93,,,,
11/21/2013,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,206,10.49,8.77,24.71,27,47.3,49,0.95,8.15,0.59,110,194,3.82,954.26,,,
9/1/2014,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,205,17.83,10.23,29.12,28,28.1,20,0.55,3.53,<0.1,134,202,159,620.14,,,
3/26/2014,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,197,5.04,7.61,24.49,23.9,13.2,9,0.21,1.73,0.29,132,146,12.3,,,,
5/15/2014,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,195,12.7,9.17,23.29,24.6,9.53,29,0.42,3.52,0.22,144,182,22,311.4,,,
7/31/2014,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,198,7.66,7.67,19.15,20.6,5.84,<3,0.12,1.45,0.1,136,162,12.4,51.17,,,
9/25/2014,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,206,11,8.88,21.11,22.4,15,14,0.71,3.2,0.65,146,208,227,,,,
11/13/2014,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,233,7.33,7.74,24.39,28,7.49,8,0.33,4.13,1.88,194,204,42.1,160.38,,,
1/14/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,219,8.25,9.29,27.64,28.7,8.58,19,1,1.25,0.35,138,268,11.9,1470.15,,,
12/3/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,224,4.09,7.28,25.73,25.2,5.53,6,0.3,2.69,1.67,116,142,4.77,,,,
4/23/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,211,2.57,7.12,23.61,22.4,6.23,5,0.19,1.3,0.15,176,184,6.17,35.75,,,
5/21/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,215,6.07,7.77,21.05,24.5,5.49,5,0.18,1.06,0.21,188,210,5.98,32.34,,,
2/6/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,213,1.49,7.08,19.96,18,5.24,4,0.15,0.85,0.18,176,182,2.92,16.93,,,
2/7/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,216,5.75,7.63,18.73,19,9.01,5,0.13,1.31,0.28,108,138,7.43,28.87,,,
12/8/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,210,13.66,9.64,21.75,24,11.6,4,0.13,2.11,< 0.1,106,124,45.4,112.27,,,
9/9/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,215,4.71,7.35,19.57,19,6.7,6,0.13,1.51,0.55,130,156,15.4,41.1,,,
10/22/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,215,5.93,7.37,22.52,21,5.95,6,0.16,2.26,0.89,106,138,16.6,68.16,,,
12/11/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,205,7.24,7.02,23.55,24,6.89,8,0.27,1.8,0.18,102,130,18.6,161.27,,,
9/12/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,203,7.27,7.48,23.94,24.9,8.3,6,0.23,< 0.5,0.22,136,140,9.19,117.61,,,
1/14/2016,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,201,3.46,7.17,25.18,22.9,8.16,7,0.15,,0.32,106,124,20.3,84.2,,,
2/17/2016,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,191,6.6,7.57,26.87,26,12.3,5,0.14,,0.29,120,120,40.8,80.19,,,
3/31/2016,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,170,10.19,8.68,27.12,28.5,7.16,13,0.59,,0.25,<100,<100,153,350.16,,,
4/14/2016,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,181,8.01,7.45,27.37,28,11.2,6,0.18,,<0.1,192,202,44.6,73.06,,,
5/31/2016,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,200,3.99,6.54,20.25,21.7,5.27,11,0.15,,1.36,136,146,8.9,30.74,,,
6/15/2016,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,194,8.19,7.25,19.61,20.1,6.13,11,0.18,,0.91,100,100,9.4,37.76,,,
7/6/2016,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,194,2.48,6.69,18.34,20.8,5.34,4,0.15,,0.28,100,106,8.15,23.72,,,
10/8/2016,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,188,6.07,7.27,17.69,17,5.68,<3,0.13,,0.13,<100,<100,14,52.46,,,
10/27/2016,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,197,3.32,7.31,22.51,23,11.4,11,0.33,,0.95,126,140,42.5,102.24,,,
11/17/2016,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,207,7.61,7.86,24.17,26.2,20,11,0.38,,0.54,114,152,71.7,176.42,,,
7/12/2016,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,197.1,16.24,9.85,26.23,27.4,19.1,9,0.27,,<0.1,152,152,74.2,156.37,,,
12/1/2017,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,193,8.8,8.82,26.34,24.7,8.39,7,0.18,,<0.1,174,220,45.5,245.92,,,
2/23/2017,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,188,9.07,9.08,27.4,24.8,9.09,11,0.3,,<0.1,106,168,70.5,273.98,,,
3/22/2017,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,185,4.25,7.46,24.87,27,4.99,8,0.14,,<0.1,114,116,19.9,48.11,,,
11/4/2017,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,184,9.93,8.69,25.29,25.8,6.48,7,0.18,,<0.1,110,120,30.4,81.08,,,
10/5/2017,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,193,8.36,7.88,20.95,20.2,6.65,6,0.13,,<0.1,116,118,10.5,61.24,,,
5/7/2017,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,192,5.4,7.39,18.87,17.6,5.06,4,0.15,,<0.1,138,140,10.1,45.24,,,
9/8/2017,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,189,6.83,7.22,18.17,24.4,5.22,<3,0.11,,0.15,132,142,16.8,43.32,,,
9/28/2017,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,193,7.09,7.76,23.09,22.6,7.44,7,0.27,,0.38,136,158,39.8,104.25,,,
10/18/2017,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,190,7.16,7.64,23.1,22.3,6.85,7,0.32,,0.13,138,154,45,145.23,,,
11/16/2017,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,192,8.24,7.99,24.1,26.1,7.55,12,0.28,,<0.1,138,160,45,155.93,,,
12/14/2017,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,191,6.71,7.58,24.7,24,7.49,7,0.16,,<0.1,132,132,20,77.27,,,
11/1/2018,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,187,11.3,9.03,25.7,26,7.43,13,0.24,,<0.1,128,148,49,195.51,,,
3/21/2018,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,192,10.04,9.11,26.7,24,7.43,8,0.19,,<0.5,126,144,31,,,,
5/22/2018,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,198,6.58,7.34,22.6,21.9,4.73,5,0.2,,0.34,114,116,7.1,69.5,,,
7/26/2018,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,197,9.07,7.8,19.8,18,6.82,6,0.14,,<0.1,130,138,12.4,72.17,,,
9/27/2018,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,206,9.92,8.65,22,23,9.41,8,0.26,,<0.1,126,178,,,,,
11/28/2018,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,202,8.51,8.22,22.8,21,8.08,5,0.25,,<0.1,138,154,25,135.65,,,
1/22/2019,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,213,13.51,9.9,28.9,31.4,7.48,9,0.25,,<0.1,140,192,68.8,311.4,,,
3/26/2019,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,164,4.62,7.1,25.3,23.9,5.93,<3,0.07,,<0.1,238,244,5.16,,,,
5/22/2019,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,172,2,6.54,22.8,23.6,7.15,<3,0.17,1.06,0.29,112,118,6.63,41.77,,,
7/24/2019,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,174,7.7,7.04,19.7,28.1,6.75,5,0.23,1.89,<0.1,<100,108,13.7,76.98,,,
2/10/2019,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,176,17.15,9.72,23.2,25.8,19.3,17,1.5,3.74,0.44,152,328,171,,,,
4/12/2019,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,180,6.83,7.4,23.1,22.8,6.5,4.3,0.13,1.44,<0.1,156,162,20.7,73.51,,,
3/1/2013,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,149,5.57,8.41,24.93,18,5.31,3,0.027,1.23,0.11,<100,<100,12.6,50.25,,,
3/14/2013,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,137,4.9,7.3,25.37,19.7,4.41,3,0.03,2.48,0.14,100,118,4.79,,,,
5/15/2013,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,131,8.9,8.38,21.82,27,5.16,4,0.04,0.92,<0.1,110,114,6.14,48.88,,,
7/25/2013,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,130,7.38,7.69,17.53,10,5.59,4,0.04,0.76,<0.1,106,108,5.94,52.7,,,
9/25/2013,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,134,9.78,9.21,19.95,15.5,4.39,7,0.05,1.17,<0.1,<100,<100,6.57,,,,
11/21/2013,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,156,9.99,9.46,25.92,26,7.06,5,0.03,0.89,0.12,<100,<100,2.34,22.45,,,
9/1/2014,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,148,9.19,9.18,27.64,30,7.92,<3,0.04,<0.5,<0.1,<100,<100,13.2,32.08,,,
3/26/2014,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,152,6.39,7.68,24.12,20.5,6.73,<3,0.05,0.75,0.19,118,120,8.78,,,,
5/15/2014,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,144,7.13,7.48,20.72,22,6.22,4,0.03,0.87,0.28,122,130,10.3,35.28,,,
7/31/2014,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,138,8.78,7.84,17.69,16.8,4.24,<3,0.03,0.94,0.23,112,134,8.67,31.01,,,
9/25/2014,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,146,9.17,8.07,20.07,22.5,8.8,3,0.04,1.09,0.12,118,122,11,,,,
11/13/2014,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,157,9.59,9.16,24.3,25,6.22,4,0.04,1.27,0.14,112,118,17.8,64.82,,,
1/14/2015,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,145,10.16,9.62,28.91,31.8,6.64,7,0.06,1.43,<0.1,<100,112,15.2,62.37,,,
12/3/2015,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,164,6.9,8.18,25.7,24.5,4.69,4,0.05,1.52,0.21,<100,114,4.88,,,,
4/23/2015,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,158,8.03,7.67,23.45,21.1,5.58,<3,0.03,0.67,<0.1,<100,104,3.35,27.62,,,
5/21/2015,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,155,8.94,8.39,20.12,18.4,5.97,<3,0.06,0.74,<0.1,138,142,5.28,23.52,,,
2/6/2015,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,158,7.11,7.51,19.93,18.9,4.39,<3,0.04,<0.5,0.11,102,110,5.73,23.79,,,
2/7/2015,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,154,8.61,8.22,18.63,20,4.98,<3,0.06,1.12,<0.1,138,154,9.2,38.31,,,
12/8/2015,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,146,10.1,9.43,21.35,25,5.14,3,<0.01,1.04,<0.1,<100,<100,11.9,35.19,,,
9/9/2015,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,154,8.17,7.91,19.53,17,7.77,<3,0.04,1,0.16,<100,<100,10.3,47.35,,,
10/22/2015,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,157,7.77,7.59,22.38,21,4.79,3,0.02,0.62,0.15,<100,104,10.9,28.96,,,
12/11/2015,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,158,9.54,8.11,24.28,25,4.57,<3,0.03,0.6,<0.1,<100,<100,7.31,30.47,,,
9/12/2015,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,156,7.82,7.93,23.36,24.5,5.76,<3,0.05,<0.5,0.12,112,118,4.37,26.73,,,
1/14/2016,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,170,6.86,7.9,24.85,21.9,8.76,<3,0.06,,<0.1,<100,102,19.7,72.17,,,
2/17/2016,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,166,8.29,9.25,26.57,26.7,7.96,3,0.05,,<0.1,114,114,20.9,33.41,,,
3/31/2016,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,156,9.46,8.96,25.47,27,9.65,4,0.06,,0.15,<100,<100,34,62.62,,,
4/14/2016,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,156,8.51,8.1,26.92,28,7.91,3,0.03,,<0.1,<100,102,15,20.85,,,
5/31/2016,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,160,8,7.47,19.89,,5.89,<3,0.04,,<0.1,112,128,16,35.89,,,
6/15/2016,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,162,8.69,7.25,20.21,19.3,6.67,5,0.11,,<0.1,102,132,114,245.92,,,
6/7/2016,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,165,11.65,9.32,19.42,22.4,11.1,4,0.09,,<0.1,112,132,1.5,162.16,,,
10/8/2016,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,160,10.11,8.8,17.76,16,8.66,<3,0.05,,<0.1,110,120,25,70.17,,,
9/22/2016,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,164,7.98,7.59,18.85,19.5,61.8,<3,0.04,,0.2,114,120,39,51.86,,,
10/27/2016,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,153,8.82,8.83,22.26,22,11.4,4,0.07,,0.11,<100,120,44,68.43,,,
7/12/2016,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,161.7,9.85,9.03,24.41,28.8,12.2,3,0.05,,<0.1,<100,114,33.7,46.11,,,
12/1/2017,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,165,7.84,9.09,26.74,23.4,8.96,8,0.06,,<0.1,142,174,32.9,74.84,,,
2/23/2017,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,152,9.25,9.05,27.94,28,4.7,<3,0.02,,0.66,<100,102,5.47,15.59,,,
3/22/2017,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,162,3.85,7.37,24.35,25.2,4.51,<3,0.05,,0.25,<100,<100,4.93,11.32,,,
11/4/2017,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,154,8.81,8.48,25.47,24,4.57,<3,0.02,,<0.1,104,104,4.35,19.86,,,
10/5/2017,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,155,7.99,7.08,21.33,20.1,3.92,<3,0.04,,<0.1,<100,<100,5.99,28.22,,,
5/7/2017,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,152,8.53,7.02,18.48,18.1,3.9,<3,0.02,,<0.1,112,132,8.25,35.42,,,
9/8/2017,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,148,8.78,7.47,18.08,23.3,4.57,<3,0.05,,<0.1,150,156,16.8,39.71,,,
10/18/2017,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,144,8.7,8.55,23.1,26.7,4.44,<3,0.04,,<0.1,100,102,5.4,17.23,,,
11/16/2017,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,150,10.21,9.23,23.6,23.5,4.5,<3,0.02,,<0.1,<100,<100,7.1,15.5,,,
12/14/2017,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,150,7.57,8.03,23.6,26,4.85,<3,0.02,,<0.1,<100,<100,8.5,13.96,,,
11/1/2018,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,153,9.44,8.99,25.4,28,5.02,8,0.03,,<0.1,<100,<100,11,38.49,,,
3/21/2018,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,155,8.73,8.84,26.2,23,5.05,<2,0.02,,<0.5,<100,<100,4.7,,,,
5/22/2018,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,154,7.34,7.48,21.2,20.4,5.39,<3,0.02,,<0.1,<100,<100,3.3,20.62,,,
7/26/2018,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,159,8.48,7.57,19.6,18,5.23,4,0.14,,<0.1,102,110,5.2,22.91,,,
9/27/2018,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,163,9.87,9.01,21.9,21,6.04,5,0.02,,<0.1,<100,116,5.39,,,,
11/28/2018,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,161,8.2,8.26,21.5,21,5.94,<3,<0.01,,<0.2,102,108,11,33.41,,,
1/22/2019,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,169,7.86,9.24,28.6,26.3,5.27,<3,0.04,,<0.1,112,122,12.3,23.63,,,
3/26/2019,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,152,8.22,7.93,25.3,24.8,5.97,4,0.05,,<0.1,<100,<100,6.63,,,,
5/22/2019,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,137,7.4,7.18,23,26.1,6.53,3,0.03,0.561,0.07,<100,<100,3.91,25.5,,,
7/25/2019,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,136,9.16,7.73,18.9,19.1,5.36,5,0.04,0.98,0.18,<100,<100,6.97,49.9,,,
2/10/2019,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,126,9.51,8.67,20.9,24.6,6.17,5,0.03,0.8,<0.1,<100,<100,6.53,,,,
4/12/2019,140 - 0 1 SP 06 635 BILL 02 900,RGDE02900,Verde,136,8.74,8.2,22.9,23.7,5.37,<3,0.02,0.72,<0.1,<100,<100,6.24,26.73,,,
